Date,breadsticks,italian,pizza,spaghetti,サンタ
2004-01-01,0.0,9.0,34.0,3.0,0.0
2004-02-01,0.0,10.0,33.0,3.0,0.0
2004-03-01,0.0,10.0,32.0,3.0,0.0
2004-04-01,0.0,9.0,33.0,3.0,0.0
2004-05-01,0.0,9.0,33.0,3.0,0.0
2004-06-01,0.0,8.0,30.0,3.0,0.0
2004-07-01,0.0,8.0,34.0,3.0,0.0
2004-08-01,0.0,8.0,33.0,3.0,0.0
2004-09-01,0.0,9.0,32.0,3.0,0.0
2004-10-01,0.0,9.0,36.0,3.0,0.0
2004-11-01,0.0,11.0,35.0,3.0,0.0
2004-12-01,0.0,11.0,36.0,3.0,0.0
2005-01-01,0.0,9.0,38.0,3.0,0.0
2005-02-01,0.0,10.0,40.0,3.0,0.0
2005-03-01,0.0,10.0,37.0,3.0,0.0
2005-04-01,0.0,9.0,38.0,2.0,0.0
2005-05-01,0.0,9.0,37.0,3.0,0.0
2005-06-01,0.0,8.0,36.0,3.0,0.0
2005-07-01,0.0,8.0,40.0,3.0,0.0
2005-08-01,0.0,9.0,39.0,4.0,0.0
2005-09-01,0.0,9.0,39.0,4.0,0.0
2005-10-01,0.0,9.0,40.0,4.0,0.0
2005-11-01,0.0,10.0,40.0,3.0,0.0
2005-12-01,0.0,11.0,43.0,3.0,0.0
2006-01-01,0.0,9.0,43.0,4.0,0.0
2006-02-01,0.0,10.0,44.0,3.0,0.0
2006-03-01,0.0,9.0,42.0,3.0,0.0
2006-04-01,0.0,9.0,42.0,3.0,0.0
2006-05-01,0.0,9.0,40.0,3.0,0.0
2006-06-01,0.0,9.0,42.0,3.0,0.0
2006-07-01,0.0,9.0,44.0,3.0,0.0
2006-08-01,0.0,8.0,44.0,3.0,0.0
2006-09-01,0.0,9.0,46.0,3.0,0.0
2006-10-01,0.0,8.0,47.0,4.0,0.0
2006-11-01,0.0,9.0,47.0,3.0,0.0
2006-12-01,0.0,10.0,52.0,3.0,0.0
2007-01-01,0.0,9.0,49.0,3.0,0.0
2007-02-01,0.0,9.0,50.0,3.0,0.0
2007-03-01,0.0,8.0,50.0,3.0,0.0
2007-04-01,0.0,8.0,48.0,3.0,0.0
2007-05-01,0.0,8.0,46.0,3.0,0.0
2007-06-01,0.0,8.0,48.0,3.0,0.0
2007-07-01,0.0,8.0,49.0,3.0,0.0
2007-08-01,0.0,8.0,49.0,3.0,0.0
2007-09-01,0.0,8.0,50.0,3.0,0.0
2007-10-01,0.0,8.0,51.0,3.0,0.0
2007-11-01,0.0,8.0,51.0,3.0,0.0
2007-12-01,0.0,9.0,57.0,3.0,0.0
2008-01-01,0.0,8.0,54.0,4.0,0.0
2008-02-01,0.0,9.0,53.0,3.0,0.0
2008-03-01,0.0,8.0,55.0,3.0,0.0
2008-04-01,0.0,8.0,52.0,3.0,0.0
2008-05-01,0.0,8.0,54.0,3.0,0.0
2008-06-01,0.0,7.0,54.0,3.0,0.0
2008-07-01,0.0,7.0,51.0,3.0,0.0
2008-08-01,0.0,8.0,55.0,4.0,0.0
2008-09-01,0.0,8.0,51.0,4.0,0.0
2008-10-01,0.0,7.0,52.0,4.0,0.0
2008-11-01,0.0,8.0,53.0,4.0,0.0
2008-12-01,0.0,9.0,56.0,4.0,0.0
2009-01-01,0.0,8.0,56.0,4.0,0.0
2009-02-01,0.0,8.0,54.0,4.0,0.0
2009-03-01,0.0,7.0,52.0,4.0,0.0
2009-04-01,0.0,8.0,53.0,4.0,0.0
2009-05-01,0.0,7.0,54.0,4.0,0.0
2009-06-01,0.0,7.0,52.0,4.0,0.0
2009-07-01,0.0,7.0,54.0,4.0,0.0
2009-08-01,0.0,8.0,55.0,5.0,0.0
2009-09-01,0.0,7.0,51.0,5.0,0.0
2009-10-01,0.0,7.0,53.0,5.0,0.0
2009-11-01,0.0,8.0,52.0,4.0,0.0
2009-12-01,0.0,9.0,54.0,4.0,0.0
2010-01-01,0.0,8.0,58.0,5.0,0.0
2010-02-01,0.0,8.0,56.0,5.0,0.0
2010-03-01,0.0,7.0,52.0,4.0,0.0
2010-04-01,0.0,7.0,52.0,4.0,0.0
2010-05-01,0.0,7.0,55.0,4.0,0.0
2010-06-01,0.0,7.0,55.0,4.0,0.0
2010-07-01,0.0,8.0,63.0,4.0,0.0
2010-08-01,0.0,8.0,64.0,5.0,0.0
2010-09-01,0.0,8.0,62.0,5.0,0.0
2010-10-01,0.0,8.0,63.0,5.0,0.0
2010-11-01,0.0,8.0,64.0,5.0,0.0
2010-12-01,0.0,9.0,70.0,5.0,0.0
2011-01-01,0.0,9.0,69.0,5.0,0.0
2011-02-01,0.0,9.0,70.0,5.0,0.0
2011-03-01,0.0,8.0,64.0,5.0,0.0
2011-04-01,0.0,8.0,72.0,5.0,0.0
2011-05-01,0.0,8.0,66.0,4.0,0.0
2011-06-01,0.0,8.0,70.0,5.0,0.0
2011-07-01,0.0,8.0,74.0,5.0,0.0
2011-08-01,0.0,8.0,74.0,5.0,0.0
2011-09-01,0.0,8.0,72.0,5.0,0.0
2011-10-01,0.0,8.0,74.0,6.0,0.0
2011-11-01,0.0,9.0,73.0,6.0,0.0
2011-12-01,0.0,9.0,81.0,5.0,0.0
2012-01-01,0.0,8.0,74.0,6.0,0.0
2012-02-01,0.0,9.0,76.0,5.0,0.0
2012-03-01,0.0,8.0,73.0,5.0,0.0
2012-04-01,0.0,8.0,76.0,5.0,0.0
2012-05-01,0.0,8.0,73.0,5.0,0.0
2012-06-01,0.0,8.0,75.0,5.0,0.0
2012-07-01,0.0,9.0,78.0,6.0,0.0
2012-08-01,0.0,9.0,76.0,6.0,0.0
2012-09-01,0.0,9.0,75.0,7.0,0.0
2012-10-01,0.0,8.0,70.0,7.0,0.0
2012-11-01,0.0,8.0,68.0,6.0,0.0
2012-12-01,0.0,9.0,78.0,6.0,0.0
2013-01-01,0.0,8.0,73.0,6.0,0.0
2013-02-01,0.0,8.0,77.0,6.0,0.0
2013-03-01,0.0,8.0,78.0,6.0,0.0
2013-04-01,0.0,8.0,73.0,6.0,0.0
2013-05-01,0.0,8.0,75.0,5.0,0.0
2013-06-01,0.0,8.0,77.0,5.0,0.0
2013-07-01,0.0,8.0,79.0,6.0,0.0
2013-08-01,0.0,8.0,80.0,6.0,0.0
2013-09-01,0.0,9.0,75.0,7.0,0.0
2013-10-01,0.0,8.0,75.0,7.0,0.0
2013-11-01,0.0,8.0,79.0,7.0,0.0
2013-12-01,0.0,9.0,81.0,6.0,0.0
2014-01-01,0.0,8.0,82.0,7.0,0.0
2014-02-01,0.0,9.0,81.0,7.0,0.0
2014-03-01,0.0,8.0,82.0,7.0,0.0
2014-04-01,0.0,8.0,79.0,6.0,0.0
2014-05-01,0.0,8.0,80.0,6.0,0.0
2014-06-01,0.0,8.0,78.0,6.0,0.0
2014-07-01,0.0,9.0,81.0,6.0,0.0
2014-08-01,0.0,9.0,85.0,7.0,0.0
2014-09-01,0.0,8.0,77.0,7.0,0.0
2014-10-01,0.0,8.0,80.0,8.0,0.0
2014-11-01,0.0,8.0,84.0,7.0,0.0
2014-12-01,0.0,9.0,86.0,6.0,0.0
2015-01-01,0.0,8.0,86.0,7.0,0.0
2015-02-01,0.0,9.0,88.0,7.0,0.0
2015-03-01,0.0,8.0,81.0,6.0,0.0
2015-04-01,0.0,8.0,83.0,6.0,0.0
2015-05-01,0.0,8.0,86.0,6.0,0.0
2015-06-01,0.0,8.0,87.0,6.0,0.0
2015-07-01,0.0,9.0,89.0,7.0,0.0
2015-08-01,0.0,9.0,90.0,7.0,0.0
2015-09-01,0.0,9.0,84.0,8.0,0.0
2015-10-01,0.0,9.0,86.0,8.0,0.0
2015-11-01,0.0,9.0,85.0,7.0,0.0
2015-12-01,0.0,10.0,93.0,7.0,0.0
2016-01-01,0.0,9.0,95.0,8.0,0.0
2016-02-01,0.0,9.0,95.0,8.0,0.0
2016-03-01,0.0,9.0,90.0,7.0,0.0
2016-04-01,0.0,9.0,92.0,7.0,0.0
2016-05-01,0.0,9.0,90.0,7.0,0.0
2016-06-01,0.0,9.0,93.0,7.0,0.0
2016-07-01,0.0,9.0,100.0,7.0,0.0
2016-08-01,0.0,9.0,89.0,8.0,0.0
2016-09-01,0.0,9.0,88.0,8.0,0.0
2016-10-01,0.0,9.0,93.0,8.0,0.0
2016-11-01,0.0,9.0,88.0,7.0,0.0
